name,lcd,pld,void_fraction,surface_area_m2g,surface_area_m2cm3,Hydrogen adsorption,Nitrogen adsorption,Avg. electronegativity,Avg. metal ionization energy,Avg. outer orbital energy,Electron density,Metal-oxygen distance,Avg. linker num.,OMS density
hMOF-34455,9.25,8.25,0.766252,4023.1,2411.9,780.7434349531441,340.06743235412915,2.480851063829788,7.72638,-0.172056,0.1860674026759043,2.529281657553174,5.5,0.0
hMOF-5040251,10.25,9.25,0.747767,4104.9,2341.4,752.7323438384757,242.83884852134844,2.5500000000000003,9.394197,-0.222725,0.1733091382792721,2.599200336662875,6.0,0.0
hMOF-5027809,10.75,7.75,0.793463,3429.3,2266.6,626.2101853601918,189.07896521272065,2.8203361344537816,9.394197,-0.222725,0.1963790640039561,2.5275221846966205,4.0,0.0
hMOF-5063160,10.75,9.75,0.747369,3474.7,2189.5,714.4931274200769,205.2657363559288,2.6231578947368424,7.72638,-0.172056,0.1885748109653077,2.52928402459316,6.0,0.0
hMOF-5040792,7.25,5.25,0.686413,4713.0,3027.9,685.7835451813002,186.52665320414545,2.7147058823529413,9.394197,-0.222725,0.1901581250566475,2.599202373217432,6.0,0.0
hMOF-6068,14.75,13.75,0.862185,4281.5,1933.4,667.1761972121056,121.89011934732255,2.6654237288135594,9.394197,-0.222725,0.1296899418499925,2.527524847343165,4.0,0.0
hMOF-5034170,9.25,8.25,0.738349,3246.8,2532.0,489.4365940472786,118.5975137685116,2.8363636363636364,9.394197,-0.222725,0.2285503076742226,2.5991991518870234,6.0,0.0
hMOF-5058950,12.25,11.25,0.785529,3849.0,2109.4,735.7686924969128,276.82930676319387,2.6218072289156624,7.72638,-0.172056,0.1655723242746596,2.529284648873129,6.0,0.0
hMOF-5082836,8.25,5.25,0.782602,4279.5,2577.4,784.1614314404211,396.0037465669026,2.5642592592592592,7.72638,-0.172056,0.1838789638280477,2.5292848924419293,6.0,0.0
hMOF-5012796,13.25,11.25,0.855915,4419.3,1983.2,841.2351896135991,196.29506540453724,2.6383018867924526,9.394197,-0.222725,0.1353033565021675,2.6201545422570884,4.0,0.0
hMOF-5008128,12.75,11.75,0.842136,4766.2,2072.2,781.7482668938985,161.05482259787547,2.6118032786885244,9.394197,-0.222725,0.129408877163191,2.5275237888049946,4.0,0.0
hMOF-5031246,21.75,20.75,0.892068,4215.5,1525.6,969.6581248888676,298.9275451591266,2.666752577319587,9.394197,-0.222725,0.1087968524460338,2.527525255161541,4.0,0.0
hMOF-14398,11.25,9.75,0.800472,4336.7,2131.5,822.7065757842538,311.6237233449367,2.521358024691358,9.394197,-0.222725,0.1519325324470689,2.6236084699414524,4.0,0.0
hMOF-5026943,11.75,9.25,0.809408,3762.3,2100.4,706.4447162610569,203.1723774611436,2.664,9.394197,-0.222725,0.1662624843495661,2.527522047029597,4.0,0.0
hMOF-2438,10.75,6.25,0.804331,3756.9,2701.9,572.7732820611847,160.10560414181109,2.5916190476190475,9.394197,-0.222725,0.2056000954629147,2.527524069384968,4.0,0.0
hMOF-7870,9.25,8.25,0.719273,4121.9,2599.4,594.9136496823885,164.91580138058785,2.6219047619047617,9.394197,-0.222725,0.1894474161354184,2.527523936819605,4.0,0.0
hMOF-5034446,6.25,4.25,0.651432,3125.3,2359.6,550.5855760877029,303.3356717397647,2.626865671641791,9.394197,-0.222725,0.2286994843949159,2.664080981071104,6.0,0.0
hMOF-5013558,11.25,10.25,0.710536,3708.9,2076.2,709.9641135992014,322.50510025272257,2.4485333333333337,9.394197,-0.222725,0.1739977958212534,2.5275242077178897,4.0,0.0
hMOF-5027264,8.75,7.25,0.759704,3790.8,2300.8,760.651564539078,182.005649161834,2.5387096774193547,9.394197,-0.222725,0.1866671827185103,2.5771580898864634,4.0,0.0
hMOF-5000528,12.75,11.75,0.807651,3462.4,2114.6,505.472543584018,73.8250360460607,2.8070967741935484,9.394197,-0.222725,0.1776458604671738,2.527524148292436,4.0,0.0
hMOF-7003184,13.75,11.25,0.822895,4040.6,1945.3,798.4532829111013,206.8987944884106,2.589945355191257,6.634126,-0.150673,0.147109793105373,2.975550606745435,8.0,0.0
hMOF-3000552,9.75,5.75,0.745851,4279.9,2388.6,734.5313078720088,237.5342804848154,2.504274193548388,9.394197,-0.222725,0.1747615356454734,2.636842173092406,6.0,0.0
